Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
Chris Feauai-Sautia,Reds,5,3,0,15,45,34,274,0,4,0,13,5,11,0,0,1,21,0
Alex Fidow,Hurricanes,5,1,0,5,20,16,89,1,1,1,1,3,6,0,0,0,0,0
Ross Geldenhuys,Chiefs,5,0,0,0,7,5,18,0,0,0,1,0,2,0,0,0,0,0
Matt Gibbon,Rebels,5,0,0,0,23,16,43,2,0,0,1,1,6,0,0,0,0,0
Jack Goodhue,Crusaders,5,1,3,5,81,36,288,1,3,6,11,11,47,0,0,4,73,0
Wes Goosen,Hurricanes,5,1,0,5,40,27,246,0,3,0,10,0,5,0,0,1,45,0
Bryn Hall,Crusaders,5,0,2,4,271,7,17,1,0,3,0,0,242,0,0,21,490,0
Cornal Hendricks,Bulls,5,2,0,10,48,27,262,0,3,0,9,1,13,0,0,5,106,0
Harry Hockings,Reds,5,0,0,0,48,25,101,0,1,0,0,5,38,16,3,0,0,0
Mitch Hunt,Highlanders,5,0,2,5,119,18,101,0,1,5,6,1,61,0,0,32,907,1
Josh Ioane,Highlanders,5,1,1,33,59,19,110,2,2,3,4,2,29,0,0,10,231,0
Mitch Jacobson,Sunwolves,5,0,0,0,31,23,138,1,1,0,2,3,9,2,0,0,0,0
Oliver Jager,Crusaders,5,0,0,0,13,11,54,0,0,0,0,0,2,0,0,0,0,0
Herschel Jantjies,Stormers,5,3,1,15,275,12,135,0,1,0,5,1,228,0,0,30,666,3
Harry Johnson-Holmes,Waratahs,5,1,0,5,24,15,55,7,1,0,5,0,8,0,0,0,0,0
Ayden Johnston,Highlanders,5,0,0,0,11,5,10,0,0,0,2,0,3,0,0,0,0,0
Mitch Karpik,Chiefs,5,0,0,0,32,17,74,3,0,0,1,0,15,4,0,1,9,0
Gideon Koegelenberg,Rebels,5,0,0,0,27,18,57,2,0,0,1,0,12,6,0,0,0,0
Manie Libbok,Bulls,5,0,1,10,73,14,91,0,1,3,4,2,51,0,0,8,235,2
Anton Lienert-Brown,Chiefs,5,2,0,10,64,44,259,0,4,0,10,7,26,0,0,1,21,0
Daniel Lienert-Brown,Highlanders,5,0,0,0,6,3,9,1,0,0,0,0,1,0,0,0,0,0
Frank Lomani,Rebels,5,1,0,9,137,10,74,0,1,0,1,0,118,0,0,4,33,2
Tyrel Lomax,Hurricanes,5,0,0,0,16,12,54,1,0,0,2,0,3,0,0,0,0,0
Ryan Louwrens,Rebels,5,0,2,0,323,18,139,1,2,2,4,4,284,0,0,20,466,1
Efitusi Ma'afu,Sunwolves,5,1,0,5,34,23,98,3,0,0,1,1,11,0,0,0,0,0
Godlen Masimla,Stormers,5,1,0,5,72,4,19,0,0,0,2,2,62,0,0,5,101,1
Ryan McCauley,Waratahs,5,0,0,0,9,3,13,0,0,0,1,0,11,6,0,0,0,0
Josh McKay,Highlanders,5,1,0,5,45,24,170,1,3,0,6,0,10,0,0,7,222,1
Santiago Medrano,Jaguares,5,0,0,0,15,13,30,0,0,0,1,0,2,0,0,0,0,0
Marino Mikaele-Tu'u,Highlanders,5,0,0,0,49,35,331,2,4,1,9,4,24,13,1,0,0,0
Atunaisa Moli,Chiefs,5,0,0,0,26,22,77,3,0,0,3,1,5,0,0,0,0,0
Andrew Muirhead,Brumbies,5,0,2,0,31,21,179,0,2,0,5,1,8,0,0,0,0,0
Shogo Nakano,Sunwolves,5,1,0,5,24,11,123,1,1,0,5,1,10,0,0,1,16,0
Emoni Narawa,Blues,5,0,0,0,21,13,90,1,2,0,1,0,5,0,0,2,39,0
Jona Nareki,Highlanders,5,3,1,15,67,34,277,1,5,2,16,3,14,0,0,9,418,0
Mark Nawaqanitawase,Waratahs,5,4,0,20,64,35,267,0,7,1,8,10,20,0,0,6,165,0
Rudy Paige,Sunwolves,5,0,0,0,213,14,106,0,3,2,6,0,190,0,0,8,221,0
Jesse Parete,Highlanders,5,0,1,0,52,41,107,4,1,1,4,6,16,4,0,0,0,0
James Parsons,Blues,5,0,0,0,27,16,55,2,0,0,1,1,8,0,0,0,0,0
Billy Proctor,Hurricanes,5,0,0,0,22,12,68,0,1,0,2,0,5,0,0,1,24,0
Manuel Rass,Lions,5,0,0,0,57,22,127,1,0,2,4,4,31,0,0,6,163,1
Izack Rodda,Reds,5,0,0,0,35,19,83,0,0,0,1,1,25,11,1,0,0,0
Juan Schoeman,Sharks,5,0,0,0,2,1,5,0,0,0,0,1,1,0,0,0,0,0
Ruben Schoeman,Lions,5,0,0,0,54,44,203,2,1,1,2,2,9,10,0,0,0,0
