Name,Club,Games,Conversions,Conversion Attempts,Penalty Goals,Penalty Goal Attempts,Goal Kicking %,Drop Goals,Drop Goal Attempts,Drop Goal %,Points,Kicks,Kick Metres,Kick Errors
Andries Ferreira,Bulls,4,0,0,0,0,-,0,0,-,0,0,0,0
Shannon Frizell,Highlanders,4,0,0,0,0,-,0,0,-,0,0,0,0
Jake Gordon,Waratahs,4,0,0,0,0,-,0,0,-,0,16,434,0
Francisco Gorrissen,Jaguares,4,0,0,0,0,-,0,0,-,0,0,0,0
Kayne Hammington,Highlanders,4,0,0,0,0,-,0,0,-,0,2,53,0
David Havili,Crusaders,4,9,13,4,7,65,0,0,-,30,14,308,2
Sione Havili,Crusaders,4,0,0,0,0,-,0,0,-,10,0,0,0
Dillon Hunt,Highlanders,4,0,0,0,0,-,0,0,-,5,0,0,0
Rieko Ioane,Blues,4,0,0,0,0,-,0,0,-,20,1,20,0
Juandre Kruger,Bulls,4,0,0,0,0,-,0,0,-,0,1,36,0
Tony Lamborn,Blues,4,0,0,0,0,-,0,0,-,5,1,42,0
James Lentjes,Highlanders,4,0,0,0,0,-,0,0,-,0,0,0,0
Ezekiel Lindenmuth,Blues,4,0,0,0,0,-,0,0,-,0,0,0,0
Andrew Makalio,Crusaders,4,0,0,0,0,-,0,0,-,0,0,0,0
Juan Cruz Mallia,Jaguares,4,0,0,0,0,-,0,0,-,0,3,26,2
Scott Malolua,Reds,4,0,1,0,0,0,0,0,-,0,6,119,0
Nic Mayhew,Sunwolves,4,0,0,0,0,-,0,0,-,0,0,0,0
Damian McKenzie,Chiefs,4,8,10,1,3,69,0,0,-,24,22,686,0
Fraser McReight,Reds,4,0,0,0,0,-,0,0,-,0,0,0,0
Steven Misa,Rebels,4,0,0,0,0,-,0,0,-,0,1,20,0
Joe Moody,Crusaders,4,0,0,0,0,-,0,0,-,5,0,0,0
Richie Mo'unga,Crusaders,4,3,3,1,1,100,0,0,-,14,20,496,1
Shunsuke Nunomaki,Sunwolves,4,0,0,0,0,-,0,0,-,0,0,0,0
Reuben O'Neill,Chiefs,4,0,0,0,0,-,0,0,-,0,0,0,0
Jacob Pierce,Blues,4,0,0,0,0,-,0,0,-,0,0,0,0
Pouri Rakete-Stones,Hurricanes,4,0,0,0,0,-,0,0,-,0,0,0,0
Tom Robertson,Waratahs,4,0,0,0,0,-,0,0,-,0,0,0,0
Divan Rossouw,Bulls,4,0,0,0,0,-,0,0,-,0,5,193,1
Jeandre Rudolph,Bulls,4,0,0,0,0,-,0,0,-,5,1,27,0
JD Schickerling,Stormers,4,0,0,0,0,-,0,0,-,0,0,0,0
Santiago Socino,Jaguares,4,0,0,0,0,-,0,0,-,10,0,0,0
