Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
R. Louwrens,REB,5,0,2,0,323,18,139,1,2,2,4,4,284,0,0,20,466,1
E. Ma'afu,SUN,5,1,0,5,34,23,98,3,0,0,1,1,11,0,0,0,0,0
G. Masimla,STO,5,1,0,5,72,4,19,0,0,0,2,2,62,0,0,5,101,1
R. McCauley,WAR,5,0,0,0,9,3,13,0,0,0,1,0,11,6,0,0,0,0
J. McKay,HIG,5,1,0,5,45,24,170,1,3,0,6,0,10,0,0,7,222,1
S. Medrano,JAG,5,0,0,0,15,13,30,0,0,0,1,0,2,0,0,0,0,0
M. Mikaele-Tu'u,HIG,5,0,0,0,49,35,331,2,4,1,9,4,24,13,1,0,0,0
A. Moli,CHI,5,0,0,0,26,22,77,3,0,0,3,1,5,0,0,0,0,0
A. Muirhead,BRU,5,0,2,0,31,21,179,0,2,0,5,1,8,0,0,0,0,0
S. Nakano,SUN,5,1,0,5,24,11,123,1,1,0,5,1,10,0,0,1,16,0
E. Narawa,BLU,5,0,0,0,21,13,90,1,2,0,1,0,5,0,0,2,39,0
J. Nareki,HIG,5,3,1,15,67,34,277,1,5,2,16,3,14,0,0,9,418,0
M. Nawaqanitawase,WAR,5,4,0,20,64,35,267,0,7,1,8,10,20,0,0,6,165,0
R. Paige,SUN,5,0,0,0,213,14,106,0,3,2,6,0,190,0,0,8,221,0
J. Parete,HIG,5,0,1,0,52,41,107,4,1,1,4,6,16,4,0,0,0,0
J. Parsons,BLU,5,0,0,0,27,16,55,2,0,0,1,1,8,0,0,0,0,0
B. Proctor,HUR,5,0,0,0,22,12,68,0,1,0,2,0,5,0,0,1,24,0
M. Rass,LIO,5,0,0,0,57,22,127,1,0,2,4,4,31,0,0,6,163,1
I. Rodda,RED,5,0,0,0,35,19,83,0,0,0,1,1,25,11,1,0,0,0
