Year,Location,Gender,Position,Name,Nationality,Continent,Time_Taken,Notes
1936,Berlin,Men,34,"Max Beer",Switzerland,Europe,3:06:26.0,""
1936,Berlin,Men,35,"Guillermo Suárez",Peru,"South America",3:08:18.0,""
1936,Berlin,Men,36,"Boris Kharalampiev",Bulgaria,Europe,3:08:53.8,""
1936,Berlin,Men,37,"Arul Swami",India,Asia,3:10:44.0,""
1936,Berlin,Men,38,"Josef Šulc",Czechoslovakia,Europe,3:11:47.4,""
1936,Berlin,Men,39,"Franz Eha",Switzerland,Europe,3:18:17.0,""
1936,Berlin,Men,40,"Wang Zhenglin","Republic of China",Asia,3:25:36.4,""
1936,Berlin,Men,41,"Stane Šporn",Yugoslavia,Europe,3:30:47.0,""
1936,Berlin,Men,42,"José Farías",Peru,"South America",3:33:24.0,""
1948,London,Men,1,"Delfo Cabrera",Argentina,"South America",2:34:51.6,""
1948,London,Men,2,"Tom Richards","Great Britain",Europe,2:35:07.6,""
1948,London,Men,3,"Étienne Gailly",Belgium,Europe,2:35:33.6,""
1948,London,Men,4,"Johannes Coleman","South Africa",Africa,2:36:06.0,""
1948,London,Men,5,"Eusebio Guiñez",Argentina,"South America",2:36:36.0,""
1948,London,Men,6,"Syd Luyt","South Africa",Africa,2:38:11.0,""
1948,London,Men,7,"Gustav Östling",Sweden,Europe,2:38:40.6,""
1948,London,Men,8,"John Systad",Norway,Europe,2:38:41.0,""
1948,London,Men,9,"Armando Sensini",Argentina,"South America",2:39:30.0,""
1948,London,Men,10,"Henning Larsen",Denmark,Europe,2:41:22.0,""
1948,London,Men,11,"Viljo Heino",Finland,Europe,2:41:32.0,""
1948,London,Men,12,"Anders Melin",Sweden,Europe,2:42:20.0,""
1948,London,Men,13,"Jussi Kurikkala",Finland,Europe,2:42:48.0,""
1948,London,Men,14,"Ted Vogel","United States","North America",2:45:27.0,""
1948,London,Men,15,"Enrique Inostroza",Chile,"South America",2:47:48.0,""
1948,London,Men,16,"Lloyd Evans",Canada,"North America",2:48:07.0,""
1948,London,Men,17,"Gérard Côté",Canada,"North America",2:48:31.0,""
1948,London,Men,18,"Stylianos Kyriakides",Greece,Europe,2:49:00.0,""
1948,London,Men,19,"József Kiss",Hungary,Europe,2:50:20.0,""
1948,London,Men,20,"Şevki Koru",Turkey,Asia,2:51:07.0,""
1948,London,Men,21,"Johnny Kelley","United States","North America",2:51:56.0,""
1948,London,Men,22,"Kaspar Schiesser",Switzerland,Europe,2:52:09.0,""
1948,London,Men,23,"Walter Fedorick",Canada,"North America",2:52:12.0,""
1948,London,Men,24,"Ollie Manninen","United States","North America",2:56:49.0,""
1948,London,Men,25,"Hong Jong-o","South Korea",Asia,2:56:54.0,""
1948,London,Men,26,"Paddy Mulvihill",Ireland,Europe,2:57:35.0,""
1948,London,Men,27,"Suh Yun-bok","South Korea",Asia,2:59:36.0,""
1948,London,Men,28,"Sven Håkansson",Sweden,Europe,3:00:09.0,""
1948,London,Men,29,"Jakob Jutz",Switzerland,Europe,3:03:55.0,""
1948,London,Men,30,"Stan Jones","Great Britain",Europe,3:09:16.0,""
1952,Helsinki,Men,1,"Emil Zátopek",Czechoslovakia,Europe,2:23:03.2,OR
1952,Helsinki,Men,2,"Reinaldo Gorno",Argentina,"South America",2:25:35.0,""
1952,Helsinki,Men,3,"Gustaf Jansson",Sweden,Europe,2:26:07.0,""
1952,Helsinki,Men,4,"Choi Yun-Chil","South Korea",Asia,2:26:36.0,""
1952,Helsinki,Men,5,"Veikko Karvonen",Finland,Europe,2:26:41.8,""
1952,Helsinki,Men,6,"Delfo Cabrera",Argentina,"South America",2:26:42.4,""
1952,Helsinki,Men,7,"József Dobronyi",Hungary,Europe,2:28:04.8,""
1952,Helsinki,Men,8,"Erkki Puolakka",Finland,Europe,2:29:35.0,""
1952,Helsinki,Men,9,"Geoffrey Iden","Great Britain",Europe,2:30:42.0,""
1952,Helsinki,Men,10,"Wally Hayward","South Africa",Africa,2:31:50.2,""
1952,Helsinki,Men,11,"Syd Luyt","South Africa",Africa,2:32:41.0,""
1952,Helsinki,Men,12,"Gustaf Östling",Sweden,Europe,2:32:48.4,""
1952,Helsinki,Men,13,"Victor Dyrgall","United States","North America",2:32:52.4,""
1952,Helsinki,Men,14,"Luis Celedón",Chile,"South America",2:33:45.8,""
1952,Helsinki,Men,15,"Adrien van de Zande",Netherlands,Europe,2:33:50.0,""
1952,Helsinki,Men,16,"Viktor Olsen",Norway,Europe,2:33:58.4,""
1952,Helsinki,Men,17,"Mikko Hietanen",Finland,Europe,2:34:01.0,""
1952,Helsinki,Men,18,"Charles Dewachtere",Belgium,Europe,2:34:32.0,""
1952,Helsinki,Men,19,"William Keith","South Africa",Africa,2:34:38.0,""
1952,Helsinki,Men,20,"Yakov Moskachenkov","Soviet Union",Europe,2:34:43.8,""
1952,Helsinki,Men,21,"Mihály Esztergomi",Hungary,Europe,2:35:10.0,""
1952,Helsinki,Men,22,"Doroteo Flores",Guatemala,"North America",2:35:40.0,""
1952,Helsinki,Men,23,"Jean Simonet",Belgium,Europe,2:35:43.0,""
1952,Helsinki,Men,24,"Jakob Kjersem",Norway,Europe,2:36:14.0,""
1952,Helsinki,Men,25,"Katsuo Nishida",Japan,Asia,2:36:19.0,""
1952,Helsinki,Men,26,"Keizo Yamada",Japan,Asia,2:38:11.2,""
1952,Helsinki,Men,27,"Feodosy Vanin","Soviet Union",Europe,2:38:22.0,""
1952,Helsinki,Men,28,"Grigory Suchkov","Soviet Union",Europe,2:38:28.8,""
1952,Helsinki,Men,29,"Henry Norrström",Sweden,Europe,2:38:57.4,""
1952,Helsinki,Men,30,"Dieter Engelhardt",Germany,Europe,2:39:37.2,""
1952,Helsinki,Men,31,"Cristea Dinu",Romania,Europe,2:39:42.2,""
1952,Helsinki,Men,32,"Jean Leblond",Belgium,Europe,2:40:37.0,""
1952,Helsinki,Men,33,"Choi Chung-Sik","South Korea",Asia,2:41:23.0,""
1952,Helsinki,Men,34,"John Systad",Norway,Europe,2:41:29.8,""
1952,Helsinki,Men,35,"Jaroslav Šourek",Czechoslovakia,Europe,2:41:40.4,""
1952,Helsinki,Men,36,"Tom Jones","United States","North America",2:42:50.0,""
1952,Helsinki,Men,37,"Robert Prentice",Australia,Oceania,2:43:13.4,""
1952,Helsinki,Men,38,"Muhammad Havlidar Aslam",Pakistan,Asia,2:43:38.2,""
1952,Helsinki,Men,39,"Adolf Gruber",Austria,Europe,2:45:02.0,""
1952,Helsinki,Men,40,"Paul Collins",Canada,"North America",2:45:58.0,""
1952,Helsinki,Men,41,"Vasile Teodosiu",Romania,Europe,2:46:00.8,""
1952,Helsinki,Men,42,"Erik Simonsen",Denmark,Europe,2:46:41.4,""
1952,Helsinki,Men,43,"Ludwig Warnemünde",Germany,Europe,2:50:00.0,""
1952,Helsinki,Men,44,"Ted Corbitt","United States","North America",2:51:09.0,""
1952,Helsinki,Men,45,"Claude Smeal",Australia,Oceania,2:52:23.0,""
1952,Helsinki,Men,46,"Asfò Bussotti",Italy,Europe,2:52:55.0,""
1952,Helsinki,Men,47,"Winand Osiński",Poland,Europe,2:54:38.2,""
1952,Helsinki,Men,48,"Olaf Sørensen",Denmark,Europe,2:55:21.0,""
1952,Helsinki,Men,49,"Joseph West",Ireland,Europe,2:56:22.8,""
